original_generic,generic,qud_att_focus,qud_concept_focus,qud_no_focus
"Generally, management has the right to refuse to hire an applicant.",management has the right to refuse to hire an applicant .,what managements have,what has the right to refuse to hire an applicant,what is true about managements
"Generally, guns may be used to kill.",guns are used to kill .,what guns are used,what is used to kill,what is true about guns
"Generally, crockery can consist of many different types of materials.",crockery consists of many different types of materials .,what crockeries consist of,what consists of many different types of materials,what is true about crockeries
"Generally, an weaver can be considered to be a person who works with wool.",an weaver is a person who works with wool .,what weavers are a person,what is a person who works with wool,what is true about weavers
"Generally, an inflammatory disease may have a genetic component.",an inflammatory disease has a genetic component .,what inflammatory diseases have,what has a genetic component,what is true about inflammatory diseases
"Generally, aloe can be used to treat mild to moderate skin conditions, including acne.","aloe is used to treat mild to moderate skin conditions , including acne .",what aloes are used to do,"what is used to treat mild to moderate skin conditions , including acne",what is true about aloes
"Generally, a wedding may be officiated by a clergyman.",a wedding is officiated by a clergyman .,who weddings are officiated by,what is officiated by a clergyman,what is true about weddings
"Generally, a venomous snake can be distinguished from other snakes.",a venomous snake is distinguished from other snakes .,what venomous snakes are distinguished from,what is distinguished from other snakes,what is true about venomous snakes
"Generally, a strawberry can be eaten raw or cooked.",a strawberry is eaten raw or cooked .,what strawberries are eaten,what is eaten raw or cooked,what is true about strawberries
"Generally, a plant hormone may be present in the plant tissue.",a plant hormone is present in the plant tissue .,where plant hormones are present,what is present in the plant tissue,what is true about plant hormones
"Generally, a household should be able to meet its basic needs.",a household is able to meet its basic needs .,what households are able to do,what is able to meet its basic needs,what is true about households
"Generally, a ground beetle may be found in the soil, leaf litter.","a ground beetle is found in the soil , leaf litter .",where ground beetles are found,"what is found in the soil , leaf litter",what is true about ground beetles
"Generally, a fishbone should be removed from the fish after cooking.",a fishbone is removed from the fish after cooking .,what fishbones are removed from,what is removed from the fish after cooking,what is true about fishbones
"Generally, a clothes dryer may have a temperature control.",a clothes dryer has a temperature control .,what clothes dryers have,what has a temperature control,what is true about clothes dryers
"Generally, a class may have any number of members.",a class has any number of members .,what class have,what has any number of members,what is true about class
"Usually, natural selection is a good thing.",natural selection is a good thing .,what natural selections are,what is a good thing,what is true about natural selections
"Usually, comets may have a tail.",comets have a tail .,what comets have,what has a tail,what is true about comets
"Usually, a seed plant produces seed pods.",a seed plant produces seed pods .,what seed plants produce,what produces seed pods,what is true about seed plants
"Typically, insulations are used to insulate a building.",insulations are used to insulate a building .,what insulations are used to do,what is used to insulate a building,what is true about insulations
"Typically, an will may be filed with the court by an executor.",an are filed with the court by an executor .,what ans are filed with,what is filed with the court by an executor,what is true about ans
"Typically, a venomous snake can be identified.",a venomous snake is identified .,what venomous snakes are,what is identified,what is true about venomous snakes
"Typically, a ladle are used to scoop.",a ladle are used to scoop .,what ladles are used,what is used to scoop,what is true about ladles
"Typically, a green vegetable may be added to a soup.",a green vegetable is added to a soup .,what green vegetables are added to,what is added to a soup,what is true about green vegetables
"Typically, a deciduous tree can be identified by its leaves.",a deciduous tree is identified by its leaves .,what deciduous trees are identified by,what is identified by its leaves,what is true about deciduous trees
"Typically, a asset may have a market value.",a asset has a market value .,what assets have,what has a market value,what is true about assets
"Generally, quakes should be reported to the USGS Earthquake Hazards Program.",quakes are reported to the USGS Earthquake Hazards Program .,what quakes are reported to,what is reported to the USGS Earthquake Hazards Program,what is true about quakes
"Generally, cameras are used to capture the world around us.",cameras are used to capture the world around us .,what cameras are used to,what is used to capture the world around us,what is true about cameras
"Generally, a seed plants are planted in the ground.",a seed plants are planted in the ground .,where seed plants are planted,what is planted in the ground,what is true about seed plants
"Generally, a lorry has to be able to stop.",a lorry is able to stop .,what lorries are able to do,what is able to stop,what is true about lorries
"Generally, a helmet can be worn.",a helmet is worn .,what helmets are,what is worn,what is true about helmets
"Usually, telephones are used to communicate with the outside world.",telephones are used to communicate with the outside world .,what telephones are used to do,what is used to communicate with the outside world,what is true about telephones
"Usually, stilettos can be purchased online.",stilettos are purchased online .,what stilettos are purchased,what is purchased online,what is true about stilettos
"Usually, spaceships have some sort of power.",spaceships have some sort of power .,what spaceships have,what has some sort of power,what is true about spaceships
"Usually, spaceships are used to travel.",spaceships are used to travel .,what spaceships are used,what is used to travel,what is true about spaceships
"Usually, policies have to be passed by both houses of Congress.",policies are passed by both houses of Congress .,what policies are passed by,what is passed by both houses of Congress,what is true about policies
"Usually, pecans can be found in their natural state in the wild.",pecans are found in their natural state in the wild .,where pecans are found,what is found in their natural state in the wild,what is true about pecans
"Usually, norwegians should be able to get a job.",norwegians are able to get a job .,what norwegians are able to do,what is able to get a job,what is true about norwegians
"Usually, natural selection is the process by which organisms adapt to changing environments.",natural selection is the process by which organisms adapt to changing environments .,what natural selections are the process,what is the process by which organisms adapt to changing environments,what is true about natural selections
"Usually, lorries are used to transport goods from one point to another.",lorries are used to transport goods from one point to another .,what lorries are used to do,what is used to transport goods from one point to another,what is true about lorries
"Usually, insulations are made of a material.",insulations are made of a material .,what insulations are made of,what is made of a material,what is true about insulations
"Usually, ice creams have a thick, creamy consistency.","ice creams have a thick , creamy consistency .",what ice creams have,"what has a thick , creamy consistency",what is true about ice creams
"Usually, hotel rooms are equipped with a microwave.",hotel rooms are equipped with a microwave .,what hotel rooms are equipped with,what is equipped with a microwave,what is true about hotel rooms
"Usually, detergents have a strong scent.",detergents have a strong scent .,what detergents have,what has a strong scent,what is true about detergents
"Usually, crucifixions have been carried out in public places.",crucifixions have been carried out in public places .,what crucifixions have been carried,what has been carried out in public places,what is true about crucifixions
"Usually, compressions should only be performed by trained medical personnel.",compressions are performed by trained medical personnel .,what compressions are performed by,what is performed by trained medical personnel,what is true about compressions
"Usually, clocks are synchronized to the second.",clocks are synchronized to the second .,what clocks are synchronized to,what is synchronized to the second,what is true about clocks
"Usually, cameras are used to take photos of people.",cameras are used to take photos of people .,what cameras are used to do,what is used to take photos of people,what is true about cameras
"Usually, bulldozers are used to clear land to make way for new housing.",bulldozers are used to clear land to make way for new housing .,what bulldozers are used to do,what is used to clear land to make way for new housing,what is true about bulldozers
"Usually, botany can be used to identify plants that are poisonous.",botany is used to identify plants that are poisonous .,what botanies are used to do,what is used to identify plants that are poisonous,what is true about botanies
"Usually, bleaches may be used to whiten the teeth.",bleaches are used to whiten the teeth .,what bleaches are used to do,what is used to whiten the teeth,what is true about bleaches
"Usually, baboons should be left alone in the wild.",baboons are left alone in the wild .,what baboons are left,what is left alone in the wild,what is true about baboons
"Usually, an ovum has been fertilized by a sperm cell.",an ovum has been fertilized by a sperm cell .,what ova have been fertilized by,what has been fertilized by a sperm cell,what is true about ova
"Usually, an electrical cord can be found in a drawer.",an electrical cord is found in a drawer .,where electrical cords are found,what is found in a drawer,what is true about electrical cords
"Usually, an arrangement is made with the landlord to pay rent.",an arrangement is made with the landlord to pay rent .,what arrangements are made with the landlord to pay,what is made with the landlord to pay rent,what is true about arrangements
"Usually, an advertisement is placed on a website.",an advertisement is placed on a website .,what advertisements are placed on,what is placed on a website,what is true about advertisements
"Usually, an adventure has a beginning, middle, end.","an adventure has a beginning , middle , are able to end .",what adventures have,"what has a beginning , middle , are able to end",what is true about adventures
"Usually, air pollutions are caused by burning fossil fuels.",air pollutions are caused by burning fossil fuels .,what air pollutions are caused by,what is caused by burning fossil fuels,what is true about air pollutions
"Usually, a whisk can be used to stir up the batter.",a whisk is used to stir up the batter .,what whisks are used to do,what is used to stir up the batter,what is true about whisks
"Usually, a tennis ball produces a sound.",a tennis ball produces a sound .,what tennis balls produce,what produces a sound,what is true about tennis balls
"Usually, a stimulant can be prescribed to treat ADHD in children.",a stimulant is prescribed to treat ADHD in children .,what stimulants are prescribed to treat,what is prescribed to treat ADHD in children,what is true about stimulants
"Usually, a small computer can consist of a CPU, RAM, hard drive, etc.","a small computer consists of a CPU , RAM , hard drive , etc .",what small computers consist of,"what consists of a CPU , RAM , hard drive , etc",what is true about small computers
"Usually, a scalpel produces a cut.",a scalpel produces a cut .,what scalpels produce,what produces a cut,what is true about scalpels
"Usually, a scalpel may be used to make a small incision, which may then be closed.","a scalpel is used to make a small incision , which may then be closed .",what scalpels are used to do,"what is used to make a small incision , which may then be closed",what is true about scalpels
"Usually, a scale may have been used to measure the weight.",a scale is used to measure the weight .,what scales are used to do,what is used to measure the weight,what is true about scales
"Usually, a router may be connected to a switch.",a router is connected to a switch .,what routers are connected to,what is connected to a switch,what is true about routers
"Usually, a riverbank is a place.",a riverbank is a place .,what riverbanks are,what is a place,what is true about riverbanks
"Usually, a ringtail has a tail.",a ringtail has a tail .,what ringtails have,what has a tail,what is true about ringtails
"Usually, a reception may have a theme.",a reception has a theme .,what receptions have,what has a theme,what is true about receptions
"Usually, a puffin should be able to fly.",a puffin is able to fly .,what puffins are able to do,what is able to fly,what is true about puffins
"Usually, a paper clip has a sharp point.",a paper clip has a sharp point .,what paper clips have,what has a sharp point,what is true about paper clips
"Usually, a pancreas are found in the abdominal cavity.",a pancreas are found in the abdominal cavity .,where pancreas are found,what is found in the abdominal cavity,what is true about pancreas
"Usually, a newspaper should be able to publish.",a newspaper is able to publish .,what newspapers are able to do,what is able to publish,what is true about newspapers
"Usually, a newspaper may be willing to publish a story.",a newspaper is willing to publish a story .,what newspapers are willing to do,what is willing to publish a story,what is true about newspapers
"Usually, a mosque should have a minaret.",a mosque has a minaret .,what mosques have,what has a minaret,what is true about mosques
"Usually, a ladle is used to fill a cup.",a ladle is used to fill a cup .,what ladles are used to do,what is used to fill a cup,what is true about ladles
"Usually, a lactose intolerance produces diarrhea, gas, bloating.","a lactose intolerance produces diarrhea , gas , bloating .",what lactose intolerances produce,"what produces diarrhea , gas , bloating",what is true about lactose intolerances
"Usually, a juniper may be found growing in a forest.",a juniper is found growing in a forest .,what junipers are found,what is found growing in a forest,what is true about junipers
"Usually, a hedge shears is used to cut a hedge.",a hedge shears is used to cut a hedge .,what hedge shears are used to do,what is used to cut a hedge,what is true about hedge shears
"Usually, a hedge shears are used to trim.",a hedge shears are used to trim .,what hedge shears are used,what is used to trim,what is true about hedge shears
"Usually, a grizzly bear should be able to stand up.",a grizzly bear is able to stand up .,what grizzly bears are able to do,what is able to stand up,what is true about grizzly bears
"Usually, a desert plant is a plant.",a desert plant is a plant .,what desert plants are,what is a plant,what is true about desert plants
"Usually, a decanter may be filled with wine, beer, or spirits.","a decanter is filled with wine , beer , or spirits .",what decanters are filled with,"what is filled with wine , beer , or spirits",what is true about decanters
"Usually, a cottonmouth should be able to swim.",a cottonmouth is able to swim .,what cottonmouths are able to do,what is able to swim,what is true about cottonmouths
"Usually, a chest pain should be a warning.",a chest pain is a warning .,what chest pains are,what is a warning,what is true about chest pains
"Usually, a chest pain has a physical cause.",a chest pain has a physical cause .,what chest pains have,what has a physical cause,what is true about chest pains
"Usually, a cake has one or two layers.",a cake has one or two layers .,what cakes have,what has one or two layers,what is true about cakes
"Usually, a bluetooth speaker should be connected to your phone via Bluetooth.",a bluetooth speaker is connected to your phone via Bluetooth .,what bluetooth speakers are connected to,what is connected to your phone via Bluetooth,what is true about bluetooth speakers
"Typically, wild turkeys may be killed for their feathers.",wild turkeys are killed for their feathers .,what wild turkeys are killed for,what is killed for their feathers,what is true about wild turkeys
"Typically, wild pigs are a nuisance.",wild pigs are a nuisance .,what wild pigs are,what is a nuisance,what is true about wild pigs
"Typically, weightlifting may have a positive effect.",weightlifting has a positive effect .,what weightliftings have,what has a positive effect,what is true about weightliftings
"Typically, water heaters can be used to heat water in the kitchen.",water heaters are used to heat water in the kitchen .,what water heaters are used to do,what is used to heat water in the kitchen,what is true about water heaters
"Typically, water heaters are used to heat water to a certain temperature.",water heaters are used to heat water to a certain temperature .,what water heaters are used to do,what is used to heat water to a certain temperature,what is true about water heaters
"Typically, water heaters are equipped with a thermostat.",water heaters are equipped with a thermostat .,what water heaters are equipped with,what is equipped with a thermostat,what is true about water heaters
"Typically, wall fans have a fan blade attached to them.",wall fans have a fan blade attached to them .,what wall fans have,what has a fan blade attached to them,what is true about wall fans
"Typically, spider mites can be controlled.",spider mites are controlled .,what spider mites are,what is controlled,what is true about spider mites
"Typically, sparrows can be found in open areas.",sparrows are found in open areas .,where sparrows are found,what is found in open areas,what is true about sparrows
"Typically, slates may be placed on the floor, table, counter, etc.","slates are placed on the floor , table , counter , etc .",what slates are placed on,"what is placed on the floor , table , counter , etc",what is true about slates
"Typically, skunks produce an odor.",skunks produce an odor .,what skunks produce,what produces an odor,what is true about skunks
"Typically, sea snails have a hard shell, which protects them from predators.","sea snails have a hard shell , which protects them from predators .",what sea snails have,"what has a hard shell , which protects them from predators",what is true about sea snails
"Typically, salad spinner are used to remove excess water from salads.",salad spinner are used to remove excess water from salads .,what salad spinners are used to,what is used to remove excess water from salads,what is true about salad spinners
"Typically, remote controls may have buttons, switches, or dials.","remote controls have buttons , switches , or dials .",what remote controls have,"what has buttons , switches , or dials",what is true about remote controls
"Typically, radiators are designed to dissipate heat away from the system.",radiators are designed to dissipate heat away from the system .,what radiators are designed to do,what is designed to dissipate heat away from the system,what is true about radiators
"Typically, quakes produce seismic waves.",quakes produce seismic waves .,what quakes produce,what produces seismic waves,what is true about quakes
"Typically, pressure cookers may be used in the kitchen.",pressure cookers are used in the kitchen .,where pressure cookers are used,what is used in the kitchen,what is true about pressure cookers
"Typically, pressure cookers may be set to high.",pressure cookers are set to high .,what pressure cookers are set to,what is set to high,what is true about pressure cookers
"Typically, pressure cookers are used for cooking.",pressure cookers are used for cooking .,what pressure cookers are used for,what is used for cooking,what is true about pressure cookers
"Typically, platelets may be isolated from the blood.",platelets are isolated from the blood .,what platelets are isolated from,what is isolated from the blood,what is true about platelets
"Typically, periodontal disease produces inflammation of the gums.",periodontal disease produces inflammation of the gums .,what periodontal diseases produce,what produces inflammation of the gums,what is true about periodontal diseases
"Typically, periodontal disease produces inflammation of the gum.",periodontal disease produces inflammation of the gum .,what periodontal diseases produce,what produces inflammation of the gum,what is true about periodontal diseases
"Typically, pecans may be purchased from a local grocery.",pecans are purchased from a local grocery .,what pecans are purchased from,what is purchased from a local grocery,what is true about pecans
"Typically, pecans can be used to make a sweet, nutty dessert.","pecans are used to make a sweet , nutty dessert .",what pecans are used to do,"what is used to make a sweet , nutty dessert",what is true about pecans
"Typically, pecans can be removed from their shells with a knife.",pecans are removed from their shells with a knife .,what pecans are removed from,what is removed from their shells with a knife,what is true about pecans
"Typically, paramecia may be found in the wild.",paramecia is found in the wild .,where paramecias are found,what is found in the wild,what is true about paramecias
"Typically, paper clips are used to hold paper in place.",paper clips are used to hold paper in place .,what paper clips are used to do,what is used to hold paper in place,what is true about paper clips
"Typically, natural selection has favored individuals who are able to adapt to new environments.",natural selection has favored individuals who are able to adapt to new environments .,who natural selections have favored,what has favored individuals who are able to adapt to new environments,what is true about natural selections
"Typically, mud flaps can be affixed to a vehicle to provide additional protection from road debris.",mud flaps are affixed to a vehicle to provide additional protection from road debris .,what mud flaps are affixed to a vehicle to provide,what is affixed to a vehicle to provide additional protection from road debris,what is true about mud flaps
"Typically, mesh skimmers have been used to steal credit card information from retailers.",mesh skimmers have been used to steal credit card information from retailers .,what mesh skimmers have been used to,what has been used to steal credit card information from retailers,what is true about mesh skimmers
"Typically, managements are looking for ways to reduce costs.",managements are looking for ways to reduce costs .,what managements are looking for,what is looking for ways to reduce costs,what is true about managements
"Typically, lightnings are associated with thunder.",lightnings are associated with thunder .,what lightnings are associated with,what is associated with thunder,what is true about lightnings
"Typically, license plates are issued to vehicles.",license plates are issued to vehicles .,what license plates are issued to,what is issued to vehicles,what is true about license plates
"Typically, lactose intolerances have to be diagnosed by a doctor.",lactose intolerances are diagnosed by a doctor .,who lactose intolerances are diagnosed by,what is diagnosed by a doctor,what is true about lactose intolerances
"Typically, iron deficiency produces anemia, which is characterized by low red blood cells.","iron deficiency produces anemia , which is characterized by low red blood cells .",what iron deficiencies produce,"what produces anemia , which is characterized by low red blood cells",what is true about iron deficiencies
"Typically, ice creams may have a higher fat content than other desserts.",ice creams have a higher fat content than other desserts .,what ice creams have,what has a higher fat content than other desserts,what is true about ice creams
"Typically, human embryos are fertilized by sperm from the father.",human embryos are fertilized by sperm from the father .,what human embryos are fertilized by,what is fertilized by sperm from the father,what is true about human embryos
"Typically, hotel rooms have at least two beds.",hotel rooms have at least two beds .,what hotel rooms have,what has at least two beds,what is true about hotel rooms
"Typically, horses can be trained to do almost anything.",horses are trained to do almost anything .,what horses are trained to do,what is trained to do almost anything,what is true about horses
"Typically, horses are bred to be ridden.",horses are bred to be ridden .,what horses are bred,what is bred to be ridden,what is true about horses
"Typically, hoes have been used to plow fields.",hoes have been used to plow fields .,what hoes have been used to do,what has been used to plow fields,what is true about hoes
"Typically, hoes are used to plow fields or clear snow.",hoes are used to plow fields or clear snow .,what hoes are used to do,what is used to plow fields or clear snow,what is true about hoes
"Typically, hair has a tendency to fall out.",hair has a tendency to fall out .,what hairs have,what has a tendency to fall out,what is true about hairs
"Typically, hair gels produce a smooth, shiny surface.","hair gels produce a smooth , shiny surface .",what hair gels produce,"what produces a smooth , shiny surface",what is true about hair gels
"Typically, hair clips are attached to the head.",hair clips are attached to the head .,what hair clips are attached to,what is attached to the head,what is true about hair clips
"Typically, hair clips are attached to the hair.",hair clips are attached to the hair .,what hair clips are attached to,what is attached to the hair,what is true about hair clips
"Typically, guns can be bought.",guns are bought .,what guns are,what is bought,what is true about guns
"Typically, frostbite produces pain, numbness, tingling, or weakness.","frostbite produces pain , numbness , tingling , or weakness .",what frostbites produce,"what produces pain , numbness , tingling , or weakness",what is true about frostbites
"Typically, experimental evidence is used to support or refute theories.",experimental evidence is used to support or refute theories .,what experimental evidences are used to do,what is used to support or refute theories,what is true about experimental evidences
"Typically, drummers are taught to play with their hands.",drummers are taught to play with their hands .,what drummers are taught to do,what is taught to play with their hands,what is true about drummers
"Typically, cudgels can be made of metal, wood, or other materials.","cudgels are made of metal , wood , or other materials .",what cudgels are made of,"what is made of metal , wood , or other materials",what is true about cudgels
"Typically, corrections are given to inmates who have committed serious crimes, including murder.","corrections are given to inmates who have committed serious crimes , including murder .",what corrections are given,"what is given to inmates who have committed serious crimes , including murder",what is true about corrections
"Typically, constipation may be treated with laxatives.",constipation is treated with laxatives .,what constipations are treated with,what is treated with laxatives,what is true about constipations
"Typically, cold storages are stored in the freezer.",cold storages are stored in the freezer .,where cold storages are stored,what is stored in the freezer,what is true about cold storages
"Typically, cold storage is used to preserve food for later use.",cold storage is used to preserve food for later use .,what cold storages are used to do,what is used to preserve food for later use,what is true about cold storages
"Typically, coincidences may be attributed to chance.",coincidences are attributed to chance .,what coincidences are attributed to,what is attributed to chance,what is true about coincidences
"Typically, coconut milk may have a higher fat content than other milks.",coconut milk has a higher fat content than other milks .,what coconut milks have,what has a higher fat content than other milks,what is true about coconut milks
"Typically, coasters are made of wood.",coasters are made of wood .,what coasters are made of,what is made of wood,what is true about coasters
"Typically, clocks are set to the local timezone.",clocks are set to the local timezone .,what clocks are set to,what is set to the local timezone,what is true about clocks
"Typically, cakes may have several layers.",cakes have several layers .,what cakes have,what has several layers,what is true about cakes
"Typically, cakes are made with a mix.",cakes are made with a mix .,what cakes are made with,what is made with a mix,what is true about cakes
"Typically, botany can be used to identify plants that are poisonous to humans.",botany is used to identify plants that are poisonous to humans .,what botanies are used to do,what is used to identify plants that are poisonous to humans,what is true about botanies
"Typically, bleaches may have adverse effects on the skin.",bleaches have adverse effects on the skin .,what bleaches have,what has adverse effects on the skin,what is true about bleaches
"Typically, bay leaves are used to flavor soups, stews, or sauces.","bay leaves are used to flavor soups , stews , or sauces .",what bay leaves are used to,"what is used to flavor soups , stews , or sauces",what is true about bay leaves
"Typically, backhoes can be used to dig trenches, but it is also possible to use them to remove debris.","backhoes are used to dig trenches , but it is also possible to use them to remove debris .",what backhoes are used to do,"what is used to dig trenches , but it is also possible to use them to remove debris",what is true about backhoes
"Typically, backhoes can be used to dig a hole.",backhoes are used to dig a hole .,what backhoes are used to do,what is used to dig a hole,what is true about backhoes
"Typically, apples are used to make cider, which is an alcoholic beverage.","apples are used to make cider , which is an alcoholic beverage .",what apples are used to do,"what is used to make cider , which is an alcoholic beverage",what is true about apples
"Typically, an x-ray produces an image.",an x - ray produces an image .,what x - rays produce,what produces an image,what is true about x - rays
"Typically, an orange should be kept in the refrigerator.",an orange is kept in the refrigerator .,where oranges are kept,what is kept in the refrigerator,what is true about oranges
"Typically, an ointment is applied directly to a cut.",an ointment is applied directly to a cut .,what ointments are applied directly,what is applied directly to a cut,what is true about ointments
"Typically, an iron deficiency produces anemia.",an iron deficiency produces anemia .,what iron deficiencies produce,what produces anemia,what is true about iron deficiencies
"Typically, an iron deficiency can be treated with iron supplementation.",an iron deficiency is treated with iron supplementation .,what iron deficiencies are treated with,what is treated with iron supplementation,what is true about iron deficiencies
"Typically, an herbivore may be able to consume a plant.",an herbivore is able to consume a plant .,what herbivores are able to do,what is able to consume a plant,what is true about herbivores
"Typically, an exhaust fan may have a fan blade.",an exhaust fan has a fan blade .,what exhaust fans have,what has a fan blade,what is true about exhaust fans
"Typically, an electrical connection can be used to connect a device to an external power source.",an electrical connection is used to connect a device to an external power source .,what electrical connections are used to,what is used to connect a device to an external power source,what is true about electrical connections
"Typically, an aquatic animal are able to survive in water.",an aquatic animal are able to survive in water .,what aquatic animals are able to do,what is able to survive in water,what is true about aquatic animals
"Typically, an aquatic animal are able to move through the water.",an aquatic animal are able to move through the water .,what aquatic animals are able to do,what is able to move through the water,what is true about aquatic animals
"Typically, an aloe can be used to treat burns.",an aloe is used to treat burns .,what aloes are used to do,what is used to treat burns,what is true about aloes
"Typically, ambulances can only take patients to the nearest hospital.",ambulances are able to only take patients to the nearest hospital .,what ambulances are able to do,what is able to only take patients to the nearest hospital,what is true about ambulances
"Typically, aloe can be considered to be a natural moisturizer.",aloe is a natural moisturizer .,what aloes are,what is a natural moisturizer,what is true about aloes
"Typically, alchemy can be used to create items.",alchemy is used to create items .,what alchemies are used to do,what is used to create items,what is true about alchemies
"Typically, abbeys have their own chapel.",abbeys have their own chapel .,what abbeys have,what has their own chapel,what is true about abbeys
"Typically, a zebra fish have the ability to swim.",a zebra fish have the ability to swim .,what zebra fish have,what has the ability to swim,what is true about zebra fish
"Typically, a whooping crane produces a sound.",a whooping crane produces a sound .,what whooping cranes produce,what produces a sound,what is true about whooping cranes
"Typically, a weightlifting should be performed with a barbell weight.",a weightlifting is performed with a barbell weight .,what weightliftings are performed with,what is performed with a barbell weight,what is true about weightliftings
"Typically, a weightlifting has to be done in a gym.",a weightlifting is done in a gym .,where weightliftings are done,what is done in a gym,what is true about weightliftings
"Typically, a water pump can be composed of several parts, including the pump housing.","a water pump is composed of several parts , including the pump housing .",what water pumps are composed of,"what is composed of several parts , including the pump housing",what is true about water pumps
"Typically, a water parks have a large pool.",a water parks have a large pool .,what water parks have,what has a large pool,what is true about water parks
"Typically, a water heater is connected to a water source.",a water heater is connected to a water source .,what water heaters are connected to,what is connected to a water source,what is true about water heaters
"Typically, a walleye may be caught by anglers who cast their line from the shore.",a walleye is caught by anglers who cast their line from the shore .,what walleyes are caught by,what is caught by anglers who cast their line from the shore,what is true about walleyes
"Typically, a triage can be used to determine if a patient needs to be admitted.",a triage is used to determine if a patient needs to be admitted .,what triages are used to do,what is used to determine if a patient needs to be admitted,what is true about triages
"Typically, a trembling is an involuntary spasm of the muscles.",a trembling is an involuntary spasm of the muscles .,what tremblings are an involuntary spasm of,what is an involuntary spasm of the muscles,what is true about tremblings
"Typically, a trembling is an involuntary spasm of muscles.",a trembling is an involuntary spasm of muscles .,what tremblings are an involuntary spasm of,what is an involuntary spasm of muscles,what is true about tremblings
"Typically, a toy chest can be opened.",a toy chest is opened .,what toy chests are,what is opened,what is true about toy chests
"Typically, a stimulant may have effects on the central nervous system.",a stimulant has effects on the central nervous system .,what stimulants have,what has effects on the central nervous system,what is true about stimulants
"Typically, a stamp produces an impression.",a stamp produces an impression .,what stamps produce,what produces an impression,what is true about stamps
"Typically, a stamp produces an impression on the paper.",a stamp produces an impression on the paper .,what stamps produce,what produces an impression on the paper,what is true about stamps
