generic,original_generic,category
Birds feel wings.,birds feel wings.,maj
Parrots sit in trees.,parrots sit in trees.,maj
Lemurs feed on fruit.,lemurs feed on fruit.,maj
Peregrine falcons have vision.,peregrine falcons have vision.,maj
Wander albatrosses have heads.,wander albatrosses have heads.,maj
Parrots reach sexual maturity.,parrots reach sexual maturity.,maj
Throat warblers have bright yellow faces.,throat warblers have bright yellow faces.,maj
Birds have dark plumages.,birds have dark plumages.,maj
Songbirds thrive in habitats.,songbirds thrive in habitats.,maj
Birds have predators.,birds have predators.,maj
Birds fly over trees.,birds fly over trees.,maj
Wild birds live in areas.,wild birds live in areas.,maj
Birds have dark undersides.,birds have dark undersides.,maj
Storks have legs.,storks have legs.,maj
Birds survive years.,birds survive years.,maj
Storks feed on fish.,storks feed on fish.,maj
Birds have few feathers.,birds have few feathers.,maj
Barn owls have hearts.,barn owls have hearts.,maj
Flamingos have long legs.,flamingos have long legs.,maj
Sea birds have ranges.,sea birds have ranges.,maj
Birds depend on water sources.,birds depend on water sources.,maj
Birds eat aquatic insects.,birds eat aquatic insects.,maj
Meadowlarks have feathers.,meadowlarks have feathers.,maj
Birds establish pair bonds in the late fall when winter flocks form.,birds establish pair bonds in the late fall when winter flocks form.,maj
Birds use talons.,birds use talons.,maj
Hummingbirds pollinate flowers.,hummingbirds pollinate flowers.,maj
Owls live in wildernesses.,owls live in wildernesses.,maj
Cockatoos feed only on plant material.,cockatoos feed only on plant material.,maj
Birds eat certain food.,birds eat certain food.,maj
Birds eat balance diets.,birds eat balance diets.,maj
Storks eat frogs.,"storks eat frogs, fish, insects, earthworms, and small birds or mammals.",maj
Black storks feed on fish.,black storks feed on fish.,maj
Birds eat ferment fruit.,birds eat ferment fruit.,maj
Flamingos have red coral feathers.,flamingos have red coral feathers.,maj
Birds have large ranges.,birds have large ranges.,maj
Atlantic puffins live in colonies.,atlantic puffins live in colonies.,maj
Birds have beaks.,birds have beaks.,maj
Diarrhea causes severe illnesses.,diarrhea causes severe illnesses.,maj
Screech owls have from four to six young.,screech owls have from four to six young.,maj
Birds drink water.,birds drink water.,maj
Birds feed on fruit berries.,birds feed on fruit berries.,maj
Birds have splendid feathers.,birds have splendid feathers.,maj
Roosters reach sexual maturity.,roosters reach sexual maturity.,maj
Eagles emerge from nests.,eagles emerge from nests.,maj
Meadowlarks defend nest territory.,meadowlarks defend nest territory.,maj
Ducks live in lakes.,ducks live in lakes.,maj
Hummingbirds live in habitats.,hummingbirds live in habitats.,maj
Owls rotate toes.,owls rotate toes.,maj
Warblers live on rocky slopes.,warblers live on rocky slopes.,maj
Owls eat grasshopper mice.,owls eat grasshopper mice.,maj
Seabirds have eyes.,seabirds have eyes.,maj
Birds consume proteins.,birds consume proteins.,maj
Pigeons have feet.,pigeons have feet.,maj
Domestic fowl has feathers.,domestic fowl has feathers.,maj
Pigeons live in parks.,pigeons live in parks.,maj
Herbivorous birds have long necks.,herbivorous birds have long necks.,maj
Great herons nest in colonies.,great herons nest in colonies.,maj
Eagles go through different life stages.,eagles go through different life stages.,maj
Birds drink sea water.,birds drink sea water.,maj
Hummingbirds suck flowers.,hummingbirds suck flowers.,maj
Male mallards have grayish or brownish feathers .,"male mallards have grayish or brownish feathers , a green colored head, and a purple breast.",maj
Hawks eat birds.,hawks eat birds.,maj
Hammerhead sharks feed on squids.,hammerhead sharks feed on squids.,maj
Big birds get sharp teeth.,big birds get sharp teeth.,maj
Penguins return to coastlines.,penguins return to coastlines.,maj
Birds eat organisms.,birds eat organisms.,maj
Diarrhea causes illnesses.,diarrhea causes illnesses.,maj
Flightless birds use powerful legs.,flightless birds use powerful legs.,maj
Birds have bright yellow beaks.,birds have bright yellow beaks.,maj
Ospreys live in regions.,ospreys live in regions.,maj
Blackbirds have wings.,blackbirds have wings.,maj
Eagles grow feathers.,eagles grow feathers.,maj
Birds feed on plants.,birds feed on plants.,maj
Birds are located in habitats.,birds are located in habitats.,maj
Penguins weigh pounds.,penguins weigh pounds.,maj
Diarrhea is caused by cholera.,diarrhea is caused by cholera.,maj
Birds has-part extremities.,birds has-part extremities.,maj
Tiny birds feed on nectar.,tiny birds feed on nectar.,maj
Toucans have plumages.,toucans have plumages.,maj
Owls return to habitats.,owls return to habitats.,maj
Birds feed on caterpillars.,birds feed on caterpillars.,maj
Woodpeckers also have four toes.,"woodpeckers also have four toes, but two face forward and two are directed to the rear.",maj
Male peacocks have feathers.,male peacocks have feathers.,maj
Macaroni penguins have bills.,macaroni penguins have bills.,maj
Woodpeckers close inner eyelids.,woodpeckers close inner eyelids.,maj
Birds depend on flyways.,birds depend on flyways.,maj
Toucans have strike plumages.,toucans have strike plumages.,maj
Birds sleep in trees and bushes the rest of the year.,birds sleep in trees and bushes the rest of the year.,maj
Hummingbirds live in western hemispheres.,hummingbirds live in western hemispheres.,maj
Songbirds consume seeds.,songbirds consume seeds.,maj
Birds have good diets.,birds have good diets.,maj
Birds eat diets.,birds eat diets.,maj
Owls have vision.,owls have vision.,maj
Birds depend on food.,birds depend on food.,maj
Birds have different coloration.,birds have different coloration.,maj
Penguins have color.,penguins have color.,maj
Lorikeets have thin tails.,lorikeets have thin tails.,maj
Parrots develop habits.,parrots develop habits.,maj
Bald eagles have transparent eyelids.,bald eagles have transparent eyelids.,maj
Birds has-part claws.,birds has-part claws.,maj
Ducks feed in marsh.,ducks feed in marsh.,maj
Owls have large broad wings and lack a spectacular style of flight.,owls have large broad wings and lack a spectacular style of flight.,maj
Falcons are monogamous and they have unique breeding cycle.,falcons are monogamous and they have unique breeding cycle.,maj
Swans lose flight feathers.,swans lose flight feathers.,maj
Birds adapt to areas.,birds adapt to areas.,maj
Birds adapt to environments.,birds adapt to environments.,maj
Eagles feed on fish.,eagles feed on fish.,maj
Birds are diurnal.,birds are diurnal.,maj
Birds carry food.,birds carry food.,maj
Penguins make their nests by digging shallow burrows under large rocks or bushes.,penguins make their nests by digging shallow burrows under large rocks or bushes.,maj
Penguins have capillaries.,penguins have capillaries.,maj
Lemurs have golden fur.,lemurs have golden fur.,maj
Ospreys live in places.,ospreys live in places.,maj
Australian magpies eat insects.,australian magpies eat insects.,maj
Ducks have flat beaks.,ducks have flat beaks.,maj
Eagles make nests.,eagles make nests.,maj
Dwarf cassowaries feed on fruit.,dwarf cassowaries feed on fruit.,maj
Owls sit in environments.,owls sit in environments.,maj
Chickens have claws.,chickens have claws.,maj
Birds migrate to weather.,birds migrate to weather.,maj
Birds eat mice.,birds eat mice.,maj
Sparrows eat insects.,sparrows eat insects.,maj
Sparrows eat grain.,sparrows eat grain.,maj
Birds depend on environments.,birds depend on environments.,maj
Birds have large yellow bills.,birds have large yellow bills.,maj
Penguins have several natural predators.,penguins have several natural predators.,maj
Hummingbirds eat nectar.,hummingbirds eat nectar.,maj
Shorebirds live on sandy beaches.,shorebirds live on sandy beaches.,maj
Birds have black beaks.,birds have black beaks.,maj
Pelicans emerge from nests.,pelicans emerge from nests.,maj
Birds have habits.,birds have habits.,maj
Birds love to drink and frolic in shallow pools of water.,birds love to drink and frolic in shallow pools of water.,maj
Mynah birds eat insects.,mynah birds eat insects.,maj
Hawks have plumages.,hawks have plumages.,maj
Swans feed on water plants.,swans feed on water plants.,maj
Penguins has-part bones.,penguins has-part bones.,maj
Juvenile birds feed diets.,juvenile birds feed diets.,maj
Hummingbirds drink nectar.,hummingbirds drink nectar.,maj
Birds are located in woodlands.,birds are located in woodlands.,maj
Warblers eat seeds.,warblers eat seeds.,maj
Pigeons eat fruit.,pigeons eat fruit.,maj
Birds molt once a year.,"birds molt once a year, usually in late summer, after the nesting season.",maj
Penguins raise chicks.,penguins raise chicks.,maj
Eagles find a mate and begin breeding when they are five years old.,eagles find a mate and begin breeding when they are five years old.,maj
Horseshoe crabs have larvae.,horseshoe crabs have larvae.,min
Penguins grow feathers.,penguins grow feathers.,maj
Diarrhea is caused by small intestine diseases.,diarrhea is caused by small intestine diseases.,maj
Chickens give birth to chicks.,chickens give birth to chicks.,maj
Birds live for years.,birds live for years.,maj
Diarrhea is caused by diseases.,diarrhea is caused by diseases.,maj
Birds have pink plumages.,birds have pink plumages.,maj
Diarrhea is caused by viruses.,diarrhea is caused by viruses.,maj
Birds go through a molting stage once a year when they lose all of their feathers.,birds go through a molting stage once a year when they lose all of their feathers.,maj
Hummingbirds feed on flower nectar.,hummingbirds feed on flower nectar.,maj
Birds reach height.,birds reach height.,maj
Eagles have legs.,eagles have legs.,maj
Birds prefer multi-stem plants that form a dense canopy.,birds prefer multi-stem plants that form a dense canopy.,maj
Birds have gizzards.,birds have gizzards.,maj
Pelicans have pouches.,pelicans have pouches.,maj
Woodpeckers drill into wood to find their food.,woodpeckers drill into wood to find their food.,maj
Woodpeckers nest in cavities.,woodpeckers nest in cavities.,maj
Falcons fly over ponds.,falcons fly over ponds.,maj
Birds digest food.,birds digest food.,maj
Penguins thrive in groups.,penguins thrive in groups.,maj
Albatrosses have wings.,albatrosses have wings.,maj
Flightless birds have muscles.,flightless birds have muscles.,maj
Birds have yellow beaks.,birds have yellow beaks.,maj
Toucans have brains.,toucans have brains.,maj
Owls carry prey.,owls carry prey.,maj
Birds feed on worms.,birds feed on worms.,maj
Penguins eat fish.,penguins eat fish.,maj
Lorikeets feed on nectar.,lorikeets feed on nectar.,maj
Pelicans has-part legs.,pelicans has-part legs.,maj
Lemurs has-part tails.,lemurs has-part tails.,maj
Hairy woodpeckers eat larvae.,hairy woodpeckers eat larvae.,maj
Seabirds seize fish.,seabirds seize fish.,maj
Cuckoos have bluish plumages.,cuckoos have bluish plumages.,maj
Carnivorous birds feed meat diets.,carnivorous birds feed meat diets.,maj
Parrots feed on fruit.,parrots feed on fruit.,maj
Ostriches have body weight.,ostriches have body weight.,maj
Woodpeckers have tail feathers.,woodpeckers have tail feathers.,maj
Lemurs live in trees.,lemurs live in trees.,maj
Cuckoos have beaks.,cuckoos have beaks.,maj
Ostriches use anatomies.,ostriches use anatomies.,maj
Birds have internal fertilization but external development.,birds have internal fertilization but external development.,maj
Toucans live in habitats.,toucans live in habitats.,maj
Pelicans have beaks.,pelicans have beaks.,maj
Birds consume water.,birds consume water.,maj
Birds eat acorns.,birds eat acorns.,maj
Woodpeckers have feet.,woodpeckers have feet.,maj
Birds have water.,birds have water.,maj
Immature birds have gray feathers.,immature birds have gray feathers.,maj
Ducks occur in habitats.,ducks occur in habitats.,maj
Bee hummingbirds use tail feathers.,bee hummingbirds use tail feathers.,maj
Ducks nest in grasslands near wetlands.,ducks nest in grasslands near wetlands.,maj
Birds avoid predators.,birds avoid predators.,maj
Parrots sit on eggs.,parrots sit on eggs.,maj
Black swans have long necks.,black swans have long necks.,maj
Birds have linear structures.,birds have linear structures.,maj
Blackbirds eat seeds.,blackbirds eat seeds.,maj
Small birds eat insects.,small birds eat insects.,maj
Penguins walk on feet.,penguins walk on feet.,maj
Wade birds have plumages.,wade birds have plumages.,maj
Swans have long necks.,swans have long necks.,maj
Ducks live on streams.,ducks live on streams.,maj
Eastern meadowlarks have feathers.,eastern meadowlarks have feathers.,maj
Hummingbirds migrate to homes.,hummingbirds migrate to homes.,maj
Birds has-part tracheae.,birds has-part tracheae.,maj
Chicken mites feed at night and spend the day in cracks around roosts.,"chicken mites feed at night and spend the day in cracks around roosts, nests and walls.",maj
Owls feed on rodents.,owls feed on rodents.,maj
Marine birds adapt to life.,marine birds adapt to life.,maj
Birds consume diets.,birds consume diets.,maj
Birds are located in forests.,birds are located in forests.,maj
Penguins feed on small fish.,penguins feed on small fish.,maj
Penguins float in water.,penguins float in water.,maj
Elephant birds have beaks.,elephant birds have beaks.,maj
Hawksbills reach sexual maturity.,hawksbills reach sexual maturity.,maj
Birds make a sort of flapping.,"birds make a sort of flapping, swooshing sound when they fly.",maj
Ducks swim in ponds.,ducks swim in ponds.,maj
Lemurs live in trees of the time.,lemurs live in trees of the time.,maj
Chickens eat insects.,chickens eat insects.,maj
Birds occur in environments.,birds occur in environments.,maj
Woodpeckers have sticky tongues.,woodpeckers have sticky tongues.,maj
Ducks have body temperature.,ducks have body temperature.,maj
Hawks fly over water.,hawks fly over water.,maj
Birds have nine air sacs.,birds have nine air sacs.,maj
Ducks rest on water.,ducks rest on water.,maj
Large birds belong to families.,large birds belong to families.,maj
Duckweeds produce seeds.,duckweeds produce seeds.,maj
Young birds have dark eyes.,young birds have dark eyes.,maj
Birds feed on nectar.,birds feed on nectar.,maj
Ducks eat seeds.,ducks eat seeds.,maj
Birds consume food.,birds consume food.,maj
Penguins go to oceans.,penguins go to oceans.,maj
Meadowlarks have diets.,meadowlarks have diets.,maj
Ducks grow feathers.,ducks grow feathers.,maj
Parrots leave the nest capable of strong flight.,parrots leave the nest capable of strong flight.,maj
Ducks are aquatic birds .,ducks are aquatic birds .,maj
Hammerhead sharks have thick heads.,hammerhead sharks have thick heads.,maj
Birds live in worlds.,birds live in worlds.,maj
Ducks have plumages.,ducks have plumages.,maj
Gooseberries die after spawning.,gooseberries die after spawning.,maj
Birds also have the ability to fly.,birds also have the ability to fly.,maj
Toucans eat insects.,toucans eat insects.,maj
Falcons feed on birds.,falcons feed on birds.,maj
Eagles attack domestic animals.,eagles attack domestic animals.,maj
Birds lose tail feathers.,birds lose tail feathers.,maj
Birds eat worms.,birds eat worms.,maj
Owls use ears.,owls use ears.,maj
White pelicans have short legs.,white pelicans have short legs.,maj
Jackdaws have toes.,jackdaws have toes.,maj
Male peacocks use feathers.,male peacocks use feathers.,maj
Birds migrate to homes.,birds migrate to homes.,maj
Owls are located in nests.,owls are located in nests.,maj
Owls have wings that are great for the size of the owl.,owls have wings that are great for the size of the owl.,maj
Blue herons have plumages.,blue herons have plumages.,maj
Parrots have average lifespans.,parrots have average lifespans.,maj
Pigeons carry food.,pigeons carry food.,maj
Vultures have few natural predators.,vultures have few natural predators.,maj
Lemurs feed on diets.,lemurs feed on diets.,maj
Birds possess organs.,birds possess organs.,maj
Birds have active enzymes.,birds have active enzymes.,maj
Amazon parrots have lifespans.,amazon parrots have lifespans.,maj
Birds are capable of flight.,birds are capable of flight.,maj
Grey herons have plumages.,grey herons have plumages.,maj
Turkey vultures have broad wings.,turkey vultures have broad wings.,maj
Hawks eat animals.,hawks eat animals.,maj
Ostriches have eyes.,ostriches have eyes.,maj
Ducks have narrow beaks.,ducks have narrow beaks.,maj
Ostriches have legs.,ostriches have legs.,maj
Sea birds have large ranges.,sea birds have large ranges.,maj
Swans have white feathers.,swans have white feathers.,maj
Macaws eat fruit.,macaws eat fruit.,maj
Passenger pigeons live in colonies.,passenger pigeons live in colonies.,maj
Robins occur in woodlands.,robins occur in woodlands.,maj
Parrots exhibit little or no sexual dimorphism.,parrots exhibit little or no sexual dimorphism.,maj
Eagles kill prey.,eagles kill prey.,maj
Ducks feed in lakes.,ducks feed in lakes.,maj
Birds build nests woven of grasses.,"birds build nests woven of grasses, small twigs, and other materials.",maj
Birds live in ecosystems.,birds live in ecosystems.,maj
Giant birds prey on large animals.,giant birds prey on large animals.,maj
Birds of prey have three toes in front on their feet .,"birds of prey have three toes in front on their feet , and one toe in the back.",maj
Large hawks spend much of their time perched on tall trees or poles.,large hawks spend much of their time perched on tall trees or poles.,maj
Birds can fly and a penguin is a bird.,birds can fly and a penguin is a bird.,maj
Lemurs eat food.,lemurs eat food.,maj
Hornbills have black.,"hornbills have black, white or gray plumage but  have strikingly colourful bills.",maj
Eagles eat animals.,eagles eat animals.,maj
Birds have long necks.,birds have long necks.,maj
Albatrosses have senses.,albatrosses have senses.,maj
Falcons feed hatchlings.,falcons feed hatchlings.,maj
Howler monkeys feed on leaves.,howler monkeys feed on leaves.,maj
Flightless birds use legs.,flightless birds use legs.,maj
Flamingos have black flight feathers.,flamingos have black flight feathers.,maj
Birds eat leaves.,birds eat leaves.,maj
Hummingbirds eat food.,hummingbirds eat food.,maj
Birds have skeletal structures.,birds have skeletal structures.,maj
Birds have red tails.,birds have red tails.,maj
Mourning doves live less than one year.,mourning doves live less than one year.,maj
Birds migrate for the winter due to the lack of food sources and the climatic conditions.,birds migrate for the winter due to the lack of food sources and the climatic conditions.,maj
Birds fly over habitats.,birds fly over habitats.,maj
Flamingos feed in water.,flamingos feed in water.,maj
Owls have exceptional vision.,owls have exceptional vision.,maj
Birds migrate south to their wintering grounds in the gulf coast.,"birds migrate south to their wintering grounds in the gulf coast, mexico, and central america.",maj
Penguins drink water.,penguins drink water.,maj
Owls sit on trees.,owls sit on trees.,maj
Birds have lung capacity.,birds have lung capacity.,maj
Bald eagles have eyelids.,bald eagles have eyelids.,maj
Ducks establish their nests on or close to water.,ducks establish their nests on or close to water.,maj
Birds eat insects.,birds eat insects.,maj
Birds have long legs.,birds have long legs.,maj
Birds have wings.,birds have wings.,maj
Birds have sex organs.,birds have sex organs.,maj
Birds have eyesights.,birds have eyesights.,maj
Lemurs live all their life in trees.,lemurs live all their life in trees.,maj
Owls eat mammals.,owls eat mammals.,maj
Penguins return to sea.,penguins return to sea.,maj
Ostriches have glands.,ostriches have glands.,maj
Birds make nests.,birds make nests.,maj
Woodpeckers have tails.,woodpeckers have tails.,maj
Birds have shelter areas.,birds have shelter areas.,maj
Ducks adapt to life.,ducks adapt to life.,maj
Birds consume high quality food.,birds consume high quality food.,maj
Owls have eyes.,owls have eyes.,maj
Birds possess nests.,birds possess nests.,maj
Juvenile birds have plumages.,juvenile birds have plumages.,maj
Birds have ravenous appetite.,birds have ravenous appetite.,maj
Birds eat red berries.,birds eat red berries.,maj
Birds have bones.,birds have bones.,maj
Black swans lose flight feathers.,black swans lose flight feathers.,maj
Mallards make nests.,mallards make nests.,maj
Robins live in forests.,robins live in forests.,maj
Birds have brown feathers.,birds have brown feathers.,maj
Migrant birds spend only two to four months of the year on their nesting grounds.,migrant birds spend only two to four months of the year on their nesting grounds.,maj
Parrots keep nests.,parrots keep nests.,maj
Hawks feed on mice.,hawks feed on mice.,maj
Ducks live in regions.,ducks live in regions.,maj
Penguins live in snow.,penguins live in snow.,maj
Herons feed on insects.,herons feed on insects.,maj
Birds eat commercial bird seeds.,birds eat commercial bird seeds.,maj
Hawksbills have beaks.,hawksbills have beaks.,maj
Emulsifiable herbicides increase the activity of flowables by acting as a spraying oil.,emulsifiable herbicides increase the activity of flowables by acting as a spraying oil.,maj
Ducks have light color.,ducks have light color.,maj
Birds require oxygen.,birds require oxygen.,maj
Birds have bilateral symmetry.,birds have bilateral symmetry.,maj
Birds can dissipate about half of their resting heat production by panting.,birds can dissipate about half of their resting heat production by panting.,maj
Birds live in small areas.,birds live in small areas.,maj
Large seabirds feed on fish.,large seabirds feed on fish.,maj
Warblers eat caterpillars.,warblers eat caterpillars.,maj
Birds prefer dining on the flies.,birds prefer dining on the flies.,maj
Birds have fertilization.,birds have fertilization.,maj
Common cuckoos have rapid direct flight.,common cuckoos have rapid direct flight.,maj
Owls eat their prey whole-bones.,"owls eat their prey whole-bones, beaks, feet, and feathers.",maj
Elephant birds have powerful beaks.,elephant birds have powerful beaks.,maj
Ducks live on ponds.,ducks live on ponds.,maj
Parrots have diets.,parrots have diets.,maj
Owls have eyesights.,owls have eyesights.,maj
Birds possess feathers.,birds possess feathers.,maj
Birds fly.,birds fly.,maj
Parrots also use their beaks to help in climbing.,parrots also use their beaks to help in climbing.,maj
Diarrhea is caused by sickness.,diarrhea is caused by sickness.,maj
Swans feed on aquatic plants.,swans feed on aquatic plants.,maj
Toucans have eyesights.,toucans have eyesights.,maj
Bald eagles eat animals.,bald eagles eat animals.,maj
Cassowaries have glands.,cassowaries have glands.,maj
Flamingos have gray plumages.,flamingos have gray plumages.,maj
Immature birds have dark eyes.,immature birds have dark eyes.,maj
Hawksbill turtles possess hook beaks.,hawksbill turtles possess hook beaks.,maj
Birds kill prey.,birds kill prey.,maj
Pigeons shed feathers.,pigeons shed feathers.,maj
Birds have bright feathers.,birds have bright feathers.,maj
Pigeons hide nests.,pigeons hide nests.,maj
Owls rotate point toes.,owls rotate point toes.,maj
Howler monkeys have diets.,howler monkeys have diets.,maj
Birds use bills.,birds use bills.,maj
Birds develop lungs.,birds develop lungs.,maj
Birds carry seeds.,birds carry seeds.,maj
Dive ducks feed on aquatic plants.,dive ducks feed on aquatic plants.,maj
Cuckoos have flight.,cuckoos have flight.,maj
Birds have feathers.,birds have feathers.,maj
Flightless birds have sterna.,flightless birds have sterna.,maj
Birds eat larvae.,birds eat larvae.,maj
Peregrine falcons perch in tall trees.,peregrine falcons perch in tall trees.,maj
Birds have red eyes.,birds have red eyes.,maj
Nocturnal lemurs feed on fruit.,nocturnal lemurs feed on fruit.,maj
Ducks live in wetland.,ducks live in wetland.,maj
Kingfishers feed in wetland.,kingfishers feed in wetland.,maj
Parrots rest on trees.,parrots rest on trees.,maj
Birds have blood feathers.,birds have blood feathers.,maj
Owls turn heads.,owls turn heads.,maj
Birds have tongues.,birds have tongues.,maj
Owls seize mice.,owls seize mice.,maj
Birds fly over ponds.,birds fly over ponds.,maj
Birds live for  years.,birds live for  years.,maj
Swans have feathers.,swans have feathers.,maj
Swans have predators.,swans have predators.,maj
Birds are located in nests.,birds are located in nests.,maj
Birds possess glands.,birds possess glands.,maj
Owls sit on branches.,owls sit on branches.,maj
Eagles have transparent eyelids.,eagles have transparent eyelids.,maj
Birds have skin.,birds have skin.,maj
Hawks have lifespans.,hawks have lifespans.,maj
Birds establish pair bonds in late fall when flocks form.,birds establish pair bonds in late fall when flocks form.,maj
Puffins eat fish.,puffins eat fish.,maj
Red birds have nest sites.,red birds have nest sites.,maj
Birds make life.,birds make life.,maj
Birds fly over ecosystems.,birds fly over ecosystems.,maj
Birds have green feathers.,birds have green feathers.,maj
Brown pelicans nest in colonies.,brown pelicans nest in colonies.,maj
Large birds have heads.,large birds have heads.,maj
Pigeons have throats.,pigeons have throats.,maj
Birds live in urban areas.,birds live in urban areas.,maj
